csa,city,csa_label,lat,long,TOTAL,RE_UNK,RE_AI_AN,RE_AS,RE_BL_AA,RE_MR,RE_WH,RE_HI_LA,RE_NH_PI,AB_UNK,AB_LT18,AB_18_24,AB_25_39,AB_40_54,AB_55_64,AB_GT65,Individual,Family,ST_PH,ST_IH,OC_PH,OC_IH
Studio City,Los Angeles,Los Angeles - Studio City,34.13744075,-118.3892054,254,1,7,3,42,7,138,56,0,0,0,5,61,104,59,25,254,0,0,254,0,83
Sun Valley,Los Angeles,Los Angeles - Sun Valley,34.22752699,-118.3554797,92,1,1,1,9,0,62,18,0,0,0,11,18,27,32,4,92,0,53,39,0,0
Sylmar,Los Angeles,Los Angeles - Sylmar,34.31309724,-118.4471528,99,9,1,4,25,2,29,28,1,1,3,1,26,40,20,8,94,5,0,99,0,32
Temple-Beaudry,Los Angeles,Los Angeles - Temple-Beaudry,34.06982571,-118.2677393,487,19,1,13,224,7,77,143,3,3,59,51,86,140,105,43,404,83,444,43,3,25
Torrance,Torrance,City of Torrance,33.83461927,-118.341636,53,3,1,0,21,1,6,19,2,0,1,4,26,13,6,3,49,4,0,53,0,17
Tujunga,Los Angeles,Los Angeles - Tujunga,34.25112908,-118.2884962,40,1,0,0,8,1,24,6,0,0,0,0,5,17,16,2,40,0,40,0,1,0
University Park,Los Angeles,Los Angeles - University Park,34.02799153,-118.2788351,381,21,2,9,152,12,56,126,3,0,32,27,111,106,70,35,326,55,0,381,0,272
Van Nuys,Los Angeles,Los Angeles - Van Nuys,34.20103175,-118.4627957,756,31,4,9,131,20,252,307,2,0,12,33,221,277,169,44,736,20,149,607,3,540
Venice,Los Angeles,Los Angeles - Venice,33.99379127,-118.4620668,274,12,3,3,110,3,69,73,1,1,79,17,46,63,47,21,144,130,21,253,0,42
Vermont Knolls,Los Angeles,Los Angeles - Vermont Knolls,33.96825542,-118.2947766,20,1,0,1,14,0,1,3,0,0,3,1,7,7,2,0,16,4,0,20,0,2
Vermont Square,Los Angeles,Los Angeles - Vermont Square,33.99937601,-118.2980432,82,3,0,1,52,1,8,17,0,0,0,5,37,24,11,5,81,1,0,82,0,34
Vermont Vista,Los Angeles,Los Angeles - Vermont Vista,33.95432578,-118.2820684,218,7,0,5,130,3,19,52,2,0,49,27,65,47,26,4,139,79,2,216,0,69
Vernon Central,Los Angeles,Los Angeles - Vernon Central,34.0003959,-118.2515649,67,2,0,1,49,1,3,11,0,0,1,61,3,2,0,0,67,0,0,67,0,45
Victoria Park,Los Angeles,Los Angeles - Victoria Park,34.04400033,-118.3246197,59,0,0,2,32,1,18,6,0,0,0,0,11,26,18,4,59,0,56,3,1,0
Watts,Los Angeles,Los Angeles - Watts,33.9404512,-118.2411486,319,4,0,1,182,2,7,118,5,0,194,40,53,31,1,0,43,276,319,0,0,0
Wellington Square,Los Angeles,Los Angeles - Wellington Square,34.03581451,-118.3334917,34,0,0,2,20,1,6,5,0,0,0,14,10,8,2,0,34,0,0,34,0,13
West Carson,Unincorporated,Unincorporated - West Carson,33.8252044,-118.2926042,73,2,0,1,33,1,17,19,0,0,1,0,8,23,23,18,71,2,0,73,0,24
West Covina,West Covina,City of West Covina,34.05542103,-117.9112842,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0
West Hollywood,West Hollywood,City of West Hollywood,34.08827817,-118.3717658,16,0,0,0,9,0,6,1,0,0,0,3,0,5,4,4,16,0,16,0,0,0
West LA,Unincorporated,Unincorporated - West LA,34.05729113,-118.456949,415,10,2,7,161,8,174,50,3,2,0,2,69,99,130,113,414,1,135,280,8,83
West Vernon,Los Angeles,Los Angeles - West Vernon,34.0001143,-118.3001922,450,11,3,5,276,11,51,93,0,0,37,23,141,133,88,28,392,58,62,388,2,205
West Whittier/Los Nietos,Unincorporated,Unincorporated - West Whittier/Los Nietos,33.97660826,-118.0689079,165,5,1,5,41,1,45,67,0,0,0,1,18,65,51,30,163,2,0,165,0,89
Westchester,Los Angeles,Los Angeles - Westchester,33.95235678,-118.4060716,35,0,0,0,16,1,13,5,0,0,0,0,15,8,7,5,35,0,0,35,0,35
Westlake,Los Angeles,Los Angeles - Westlake,34.05720825,-118.272224,1673,139,12,85,644,32,363,387,11,5,78,109,463,540,329,149,1565,108,436,1237,7,235
Westwood,Los Angeles,Los Angeles - Westwood,34.06593062,-118.4381374,132,3,0,1,66,1,14,47,0,0,76,7,29,16,3,1,12,120,0,132,0,21
Whittier,Whittier,City of Whittier,33.96784241,-118.0187989,494,62,7,6,17,7,134,259,2,0,8,39,131,183,109,24,480,14,0,494,0,76
Wholesale District,Los Angeles,Los Angeles - Wholesale District,34.0415439,-118.2331075,4389,139,33,65,2436,95,678,922,21,104,22,183,1089,1679,1076,236,4343,46,2183,2206,84,720
Willowbrook,Unincorporated,Unincorporated - Willowbrook,33.91657678,-118.2515062,193,0,0,0,114,11,11,56,1,0,80,9,35,34,25,10,69,124,193,0,0,0
Wilmington,Los Angeles,Los Angeles - Wilmington,33.78586905,-118.2532768,92,1,1,4,26,2,24,34,0,0,0,3,22,29,27,11,91,1,0,92,0,45
Wilshire Center,Los Angeles,Los Angeles - Wilshire Center,34.06837587,-118.295338,326,4,2,11,143,6,46,114,0,0,69,31,88,77,45,16,224,102,104,222,0,160
Winnetka,Los Angeles,Los Angeles - Winnetka,34.2131086,-118.575929,66,3,0,4,23,2,19,15,0,0,0,2,2,2,28,32,66,0,66,0,0,0
